order_id,order_date,customer_email,country,channel,product_sku,product_name,quantity,unit_price,order_total,weight,currency,status,,
ORD-101805,19-03-2026,customer0457@example.com,France,direct,FR-9902,Trekking Poles,1,45,36,520,EUR,completed,45,order_date
ORD-102690,19-05-2026,customer0814@example.com,France,social,FR-2210,Trail Softshell,1,71.1,71.1,0.52,GBP,completed,71.1,19-03-2026
ORD-101454,14-06-2026,customer0858@example.com,UK,email,FR-1120,Fell Runner Cap,1,45,45,0.085,GBP,completed,,19-05-2026
ORD-100450,01-08-2026,customer0116@example.com, UK,organic,FR-5567,Merino Base Layer,1,71.1,71.1,190,EUR,completed,,14-06-2026
ORD-101501,20-05-2026,customer1397@example.com,Ireland,email,FR-8890,Summit Down Gilet,1,21.6,21.6,0.38,GBP,completed,,08-01-2026
ORD-101788,14-03-2026,customer0775@example.com,GB,organic,FR-1120,Fell Runner Cap,1,45,45,85,GBP,completed,,20-05-2026
ORD-102657,25-04-2026,customer1328@example.com,GB,social,FR-1120,Fell Runner Cap,3,85.5,256.5,0.085,GBP,refunded,,14-03-2026
ORD-102047,20-05-2026,customer0760@example.com,ireland,organic,FR-1120,Fell Runner Cap,2,134.1,268.2,0.085,EUR,refunded,,25-04-2026
ORD-102650,04-02-2026,customer0013@example.com,gb,paid_search,FR-5567,Merino Base Layer,1,24,24,190,GBP,completed,,20-05-2026
ORD-102734,16-02-2026,customer0805@example.com, UK,paid_search,FR-5567,Merino Base Layer,1,95,95,190,EUR,refunded,,02-04-2026
ORD-102012,21-04-2026,customer0123@example.com, UK,email,FR-7781,Storm Overtrousers,1,45,45,0.41,GBP,completed,,16-02-2026
ORD-102152,07-01-2026,customer0956@example.com,Ireland,email,FR-7781,Storm Overtrousers,1,129,129,410,GBP,completed,,21-04-2026
ORD-102773,27-02-2026,customer1363@example.com,GB,organic,FR-3345,CafÃ© Latte Mug,3,116.1,348.3,340,GBP,refunded,,01-07-2026
ORD-102215,21-02-2026,customer1206@example.com,gb,direct,FR-4471,Alpine Jacket,3,129,387,640,GBP,completed,,02/27/2026
ORD-100612,07-05-2026,customer0555@example.com,uk ,email,FR-2210,Trail Softshell,1,45,45,0.52,EUR,completed,,21-02-2026
ORD-102771,01-11-2026,customer1312@example.com,Ireland,paid_search,FR-1120,Fell Runner Cap,1,71.1,71.1,85,GBP,completed,,05-07-2026
ORD-101929,19-06-2026,customer0084@example.com,United Kingdom,organic,FR-7781,Storm Overtrousers,1,116.1,116.1,0.41,GBP,completed,,11-01-2026
ORD-101855,06-07-2026,customer0527@example.com,GB,paid_search,FR-3345,CafÃ© Latte Mug,1,89,89,0.34,GBP,refunded,,19-06-2026
ORD-101033,23-04-2026,customer0970@example.com, UK,organic,FR-4471,Alpine Jacket,2,149,298,0.64,GBP,completed,,07-06-2026
ORD-100485,14-06-2026,customer1056@example.com,uk ,email,FR-5567,Merino Base Layer,1,45,45,0.19,GBP,completed,,23-04-2026
ORD-101121,28-03-2026,customer0910@example.com,France,direct,FR-5567,Merino Base Layer,1,85.5,85.5,190,GBP,completed,,14-06-2026
ORD-101302,28-02-2026,customer1155@example.com,Germany,email,FR-8890,Summit Down Gilet,2,149,298,380,GBP,completed,,28-03-2026
ORD-100778,16-02-2026,customer1044@example.com,uk ,social,FR-1120,Fell Runner Cap,1,21.6,21.6,85,GBP,completed,,28-02-2026
ORD-100968,21-03-2026,customer0047@example.com,ireland,organic,FR-3345,CafÃ© Latte Mug,1,21.6,21.6,340,GBP,completed,,16-02-2026
ORD-101676,04-01-2026,customer0180@example.com,gb,email,FR-7781,Storm Overtrousers,-1,129,-129,410,GBP,completed,,03/21/2026
ORD-102809,23-04-2026,customer0212@example.com,Germany,organic,FR-5567,Merino Base Layer,3,89,267,0.19,EUR,completed,,01-04-2026
ORD-102890,01-09-2026,customer0605@example.com,UK,direct,FR-3345,CafÃ© Latte Mug,1,21.6,21.6,340,GBP,refunded,,23-04-2026
ORD-100039,31-05-2026,customer0449@example.com, UK,social,FR-8890,Summit Down Gilet,2,79,158,0.38,GBP,completed,,09-01-2026
ORD-102776,30-06-2026,customer0321@example.com,GB,direct,FR-8890,Summit Down Gilet,3,11.25,33.75,0.38,GBP,completed,,31-05-2026
ORD-100053,04-04-2026,customer1166@example.com,gb,social,FR-2210,Trail Softshell,1,GBP45.00,36,520,GBP,completed,,30-06-2026
ORD-101914,13-03-2026,customer0347@example.com,Germany,paid_search,FR-5567,Merino Base Layer,2,129,258,190,GBP,completed,,04-04-2026
ORD-100303,17-01-2026,customer1186@example.com, UK,social,FR-4471,Alpine Jacket,1,71.1,71.1,640,GBP,completed,,13-03-2026
ORD-102075,04-01-2026,customer1029@example.com, UK,organic,FR-3345,CafÃ© Latte Mug,-2,45,-90,340,GBP,completed,,17-01-2026
ORD-101025,15-02-2026,customer1144@example.com,United Kingdom,email,FR-4471,Alpine Jacket,2,£80.10,160.2,640,EUR,completed,,01-04-2026
ORD-101946,05-10-2026,customer1248@example.com,UK,organic,FR-4471,Alpine Jacket,2,GBP12.50,25,0.64,GBP,completed,,15-02-2026
ORD-101075,19-03-2026,customer0388@example.com, UK,organic,FR-7781,Storm Overtrousers,3,149,447,410,GBP,completed,,10-05-2026
ORD-101807,24-04-2026,customer1225@example.com, UK,direct,FR-7781,Storm Overtrousers,2,11.25,22.5,0.41,GBP,refunded,,03/19/2026
ORD-102879,30-03-2026,customer1087@example.com,ireland,paid_search,FR-7781,Storm Overtrousers,1,149,149,410,GBP,refunded,,04/24/2026
ORD-100229,14-02-2026,customer0706@example.com,gb,paid_search,FR-1120,Fell Runner Cap,1,80.1,80.1,85,GBP,completed,,30-03-2026
ORD-101507,20-06-2026,customer0951@example.com,uk ,organic,FR-5567,Merino Base Layer,1,95,95,0.19,GBP,completed,,02/14/2026
ORD-100281,20-06-2026,customer1318@example.com,gb,organic,FR-7781,Storm Overtrousers,3,11.25,33.75,0.41,GBP,completed,,06/20/2026
ORD-100155,27-05-2026,customer0109@example.com, UK,social,FR-4471,Alpine Jacket,2,21.6,43.2,0.64,EUR,refunded,,20-06-2026
ORD-102793,02-03-2026,customer0701@example.com,United Kingdom,email,FR-8890,Summit Down Gilet,2,89,178,380,GBP,completed,,27-05-2026
ORD-102266,19-01-2026,customer0725@example.com, UK,email,FR-3345,CafÃ© Latte Mug,1,GBP80.10,80.1,340,GBP,completed,,03-02-2026
ORD-102177,24-06-2026,customer0599@example.com,UK,direct,FR-3345,CafÃ© Latte Mug,3,129,387,0.34,GBP,completed,,19-01-2026
ORD-102794,21-05-2026,customer0480@example.com,ireland,paid_search,FR-7781,Storm Overtrousers,2,129,258,0.41,GBP,completed,,06/24/2026
ORD-102860,24-03-2026,customer1378@example.com,UK,direct,FR-4471,Alpine Jacket,2,£85.50,171,640,GBP,refunded,,21-05-2026
ORD-102717,20-03-2026,customer0415@example.com,ireland,paid_search,FR-7781,Storm Overtrousers,1,89,89,410,GBP,completed,,24-03-2026
ORD-100226,14-01-2026,customer0210@example.com,Germany,email,FR-3345,CafÃ© Latte Mug,1,95,95,340,EUR,completed,,20-03-2026
